Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
SC62220,14,B,0,0,0,0,0,0,0,0,0,0,0,0,435,548,34,10,783,C. i,finetooth,WH
SC62220,14,DF,0,0,0,0,0,0,0,0,0,0,0,0,435,548,34,10,783,C. i,finetooth,WH
SC62220,15,S,0,0,0,0,0,0,0,0,0,0,0,0,408,511,31,11,567,C. i,finetooth,WH
SC62220,15,V,0,0,0,0,0,0,0,0,0,0,0,0,408,511,31,11,567,C. i,finetooth,WH
SC62220,15,B,0,0,0,0,0,0,0,0,0,0,0,0,408,511,31,11,567,C. i,finetooth,WH
SC62220,15,DF,0,0,0,0,0,0,0,0,0,0,0,0,408,511,31,11,567,C. i,finetooth,WH
SC62220,16,S,1,0,0,0,0,0,0,0,0,0,0,1,418,521,48,12,756,C. i,finetooth,MH
SC62220,16,V,0,0,0,0,0,0,0,0,0,0,0,0,418,521,48,12,756,C. i,finetooth,MH
SC62220,16,B,0,0,0,0,0,0,0,0,0,0,0,0,418,521,48,12,756,C. i,finetooth,MH
SC62220,16,DF,0,0,0,0,0,0,0,0,0,0,0,0,418,521,48,12,756,C. i,finetooth,MH
SC62220,17,S,1,0,0,0,0,0,0,0,0,0,0,1,419,522,11,11,597,C. i,finetooth,MH
SC62220,17,V,1,0,0,0,0,0,0,0,0,0,0,1,419,522,11,11,597,C. i,finetooth,MH
SC62220,17,B,0,0,0,0,0,0,0,0,0,0,0,0,419,522,11,11,597,C. i,finetooth,MH
SC62220,17,DF,0,0,0,0,0,0,0,0,0,0,0,0,419,522,11,11,597,C. i,finetooth,MH
SC62220,18,S,6,0,0,0,0,0,0,0,0,0,1,7,511,632,18,12,1418,C. l,blacktip,PH
SC62220,18,V,1,0,0,0,0,0,0,0,0,1,0,2,511,632,18,12,1418,C. l,blacktip,PH
SC62220,18,B,0,0,0,0,0,0,0,0,0,0,0,0,511,632,18,12,1418,C. l,blacktip,PH
SC62220,18,DF,0,0,0,0,0,0,0,0,0,0,0,0,511,632,18,12,1418,C. l,blacktip,PH
SC62220,19,S,2,0,0,0,1,0,0,0,0,0,0,3,487,615,11,11,1215,C. l,blacktip,FR
SC62220,19,V,1,2,0,0,0,1,0,0,0,0,0,4,487,615,11,11,1215,C. l,blacktip,FR
